tag,text
EXAMPLE,I wish I could see into his mind and find out what he thinks of me. 
HEADWORD,see off
DEFINITION,to go somewhere such as a station or airport with someone in order to say goodbye to them
EXAMPLE,Anne saw Terry off at the station. 
HEADWORD,see out
DEFINITION,to go with someone to the door when they are leaving in order to say goodbye to them
EXAMPLE,My secretary will see you out. 
HEADWORD,see over
DEFINITION,to walk around a place or building and look at what is there
EXAMPLE,I wonder if they'd let me see over the place.
HEADWORD,see round
DEFINITION,to examine a place by walking around it
EXAMPLE,Have you ever seen round this place properly?
HEADWORD,see through
DEFINITION,to recognize that something is not true and not be tricked by it
EXAMPLE,"We can all see through your little game, Adam. "
HEADWORD,see to
DEFINITION,to deal with or take charge of someone or something
EXAMPLE,You'd better take her to hospital and get her ankle seen to. 
HEADWORD,seek out
DEFINITION,to find someone or something by looking for them in a determined way
EXAMPLE,Corbett resolved to seek out the truth. 
HEADWORD,seep away
DEFINITION,to gradually become less or disappear
EXAMPLE,Their supply of food gradually began to seep away. 
HEADWORD,segue into
DEFINITION,to change smoothly from one song or subject of conversation to another without stopping
EXAMPLE,The songs segue into each other with no gaps in between.
HEADWORD,seize on
DEFINITION,to use something in an enthusiastic way in order to gain an advantage
EXAMPLE,Her comments were seized on as evidence that she is not reliable. 
HEADWORD,seize up
DEFINITION,to suddenly stop moving or working properly
EXAMPLE,Her back seized up painfully after she'd lifted the box. 
HEADWORD,seize upon
DEFINITION,to use something in an enthusiastic way in order to gain an advantage
EXAMPLE,Even the most unlikely incident was seized upon as a diversion from the monotony of the work. 
HEADWORD,sell off
DEFINITION,"to sell something quickly and for a low price, usually because you need money"
EXAMPLE,The company will have to sell off assets to avoid bankruptcy. 
HEADWORD,sell on
DEFINITION,to sell something to someone after buying it from someone else
EXAMPLE,They buy it at a low price and sell it on for a huge profit.
HEADWORD,sell on
DEFINITION,to persuade someone to do or have something
EXAMPLE,I don't think I've sold her on spending Christmas with my parents. 
HEADWORD,sell up
DEFINITION,to sell your house or business because you want to live somewhere else or do something else
EXAMPLE,We're selling up and moving to the Western Isles.
HEADWORD,send away
DEFINITION,to order someone to leave a place
EXAMPLE,His lawyer was sent away by the security guards. 
HEADWORD,send away for
DEFINITION,to write to a person or organization asking them to send something to you
EXAMPLE,I've sent away for details of their cruises.
HEADWORD,send back
DEFINITION,to return something that is not satisfactory
EXAMPLE,Any faulty or broken items can be sent back. 
HEADWORD,send down
DEFINITION,to send someone to prison
EXAMPLE,He's been sent down for five years for forgery. 
HEADWORD,send for
DEFINITION,to ask for someone to come to you
EXAMPLE,I think we should send for a doctor. 
HEADWORD,send in
DEFINITION,to arrange for people or equipment to go to a place
EXAMPLE,Government forces were sent in to fight the rebellion. 
HEADWORD,send off
DEFINITION,to post something to someone
EXAMPLE,I want to send this application off today. 
HEADWORD,send off for
DEFINITION,to write to a person or organization asking them to send something to you
EXAMPLE,I've sent off for details about the offer.
HEADWORD,send out
DEFINITION,to send a lot of copies of the same document to a large number of people
EXAMPLE,We sent out 300 invitations to our gallery opening. 
HEADWORD,send out for
DEFINITION,to order something and ask for it to be delivered to you
EXAMPLE,I don't feel like cooking - let's send out for a pizza.
HEADWORD,send up
DEFINITION,to make someone seem silly by pretending to speak or behave like them
EXAMPLE,He sends the prime minister up brilliantly. 
HEADWORD,separate out
DEFINITION,to divide something into different parts or groups
EXAMPLE,The material is processed to separate out the impurities. 
HEADWORD,separate out from
DEFINITION,to be the quality or detail that makes someone or something different from other people or things
EXAMPLE,What separates him out from other world leaders? 
HEADWORD,serve as
DEFINITION,to be used for a particular purpose
EXAMPLE,The directors decided that the building would serve as their headquarters.
HEADWORD,serve out
DEFINITION,to continue doing something until you are officially allowed to stop doing it
EXAMPLE,We want you to serve out your full contract. 
HEADWORD,serve up
DEFINITION,to provide something
EXAMPLE,The teams served up some highly entertaining football this afternoon. 
HEADWORD,serve with
DEFINITION,to officially give someone a legal document that orders them to do something
EXAMPLE,She was served with a summons to appear in court. 
HEADWORD,set about
DEFINITION,"to begin doing something, especially in a determined or enthusiastic way"
EXAMPLE,She set about the problem with her usual energy. 
HEADWORD,set against
DEFINITION,to compare one thing with another or to consider it in relation to something else
EXAMPLE,The advantages of the new system must be set against its disadvantages. 
HEADWORD,set apart
DEFINITION,to be the aspect or quality that makes someone or something different and special
EXAMPLE,The standard of skill in his players have always set his teams apart. 
HEADWORD,set aside
DEFINITION,to keep or save something from a larger amount or supply in order to use it later for a particular purpose
EXAMPLE,I set aside a third of my salary every month. 
HEADWORD,set back
DEFINITION,to delay the progress of someone or something
EXAMPLE,The injury set me back a lot. 
HEADWORD,set down
DEFINITION,to write something on a piece of paper so that it will not be forgotten and can be looked at later
EXAMPLE,She set all these events down in her diary. 
HEADWORD,set down as
DEFINITION,to consider something in a particular way
EXAMPLE,He set the whole experience down as a failure.
HEADWORD,set forth
DEFINITION,"to start a journey, especially one that is long or difficult"
EXAMPLE,We set forth shortly after breakfast. 
HEADWORD,set off
DEFINITION,to start a journey or start going somewhere
EXAMPLE,We set off early the next morning. 
HEADWORD,set off against
DEFINITION,to state officially that an amount of money is a cost to your business in order to pay less tax
EXAMPLE,You can set claims for expenses off against taxes. 
HEADWORD,set on
DEFINITION,to tell a person or animal to attack another person or animal
EXAMPLE,Leave now or I'll set the dogs on you.
HEADWORD,set out
DEFINITION,to start a journey
EXAMPLE,"After a three-day rest, the travellers set out again. "
HEADWORD,set to
DEFINITION,to start doing something in a determined or enthusiastic way
EXAMPLE,After the party we all set to and cleared everything up. 
HEADWORD,set up
DEFINITION,"to start something such as a business, organization, or institution"
EXAMPLE,The group plans to set up an import business. 
HEADWORD,set up as
DEFINITION,to put someone in a position of power
EXAMPLE,There was a plan to set him up as party leader. 
HEADWORD,set upon
DEFINITION,to attack someone or something
EXAMPLE,He was set upon by a group of youths. 
HEADWORD,settle back
DEFINITION,"to lean back in a chair or bed, especially when you are preparing to enjoy something"
EXAMPLE,She leaned forward from her chair then settled back again. 
HEADWORD,settle down
DEFINITION,"to become calm after being upset, nervous or excited"
EXAMPLE,"Settle down children, it's time to go to sleep. "
HEADWORD,settle for
DEFINITION,to accept someone or something that is not exactly what you wanted because you cannot have what you wanted
EXAMPLE,Injuries and illness forced the team to settle for third place. 
HEADWORD,settle in
DEFINITION,"to become familiar with a new way of life, place, or job, or to make someone do this"
EXAMPLE,She seems to have settled in quickly at her new school. 
HEADWORD,settle on
DEFINITION,to make a decision between two or more people or things after not being certain which to choose
EXAMPLE,The band has still not settled on a name. 
HEADWORD,settle to
DEFINITION,to start doing something or thinking about something with all your attention
EXAMPLE,I can't seem to settle to anything today. 
HEADWORD,settle up
DEFINITION,to pay all of an amount of money that you owe to a particular person or company
EXAMPLE,He went to the hotel reception to settle up and check out. 
HEADWORD,sew up
DEFINITION,to repair something such as a hole in a piece of cloth by sewing it
EXAMPLE,She was sewing the holes in her socks up. 
HEADWORD,sex up
DEFINITION,"to change something in order to make it seem more interesting, exciting or important"
EXAMPLE,They brought in an advertising agency to try to sex up the city's image. 
HEADWORD,shack up
DEFINITION,to live or stay in a place for a short time
EXAMPLE,You can shack up here for a while if you like. 
HEADWORD,shade in
DEFINITION,to make an area of a picture or drawing darker than the other areas
EXAMPLE,I'd like you to shade in all the triangles. 
HEADWORD,shake off
DEFINITION,"to get rid of something bad such as a problem, illness, or fear"
EXAMPLE,I haven't been able to shake off this cold for weeks. 
HEADWORD,shake out
DEFINITION,"to shake a cloth, sheet, piece of clothing etc so that dust and dirt fall off"
EXAMPLE,He shook his sandy socks out and put them in his bag. 
HEADWORD,shake up
DEFINITION,to upset or frighten someone by shocking or surprising them
EXAMPLE,The accident really shook her up. 
HEADWORD,shame into
DEFINITION,to make someone feel so guilty or embarrassed that they do what you want
EXAMPLE,She was trying to shame me into visiting my grandmother. 
HEADWORD,shape into
DEFINITION,to form something into a particular shape
EXAMPLE,"First, shape the clay into a round ball."
HEADWORD,shape up
DEFINITION,to develop
EXAMPLE,Investors are waiting to see how the market shapes up before they make a decision. 
HEADWORD,share out
DEFINITION,to divide something among several people or groups
EXAMPLE,We shared out the money so we each had enough to buy a meal. 
HEADWORD,sharpen up
DEFINITION,to improve or make something improve
EXAMPLE,You need to sharpen up or you'll get sacked. 
HEADWORD,shave off
DEFINITION,to cut hair from part of your body using a razor or a shaver
EXAMPLE,You've shaved off your beard. 
HEADWORD,sheer off
DEFINITION,to change direction very suddenly
EXAMPLE,The car sheered off to the left. 
HEADWORD,shell out
DEFINITION,to spend a lot of money on something
EXAMPLE,How did you get them to shell out all that money? 
HEADWORD,shield from
DEFINITION,"to protect something, usually from being hit, touched, or seen"
EXAMPLE,He tried to shield his eyes from the sun. 
HEADWORD,shin up
DEFINITION,"to climb up a tree, rope etc quickly, using your hands and legs"
EXAMPLE,I watched him shin up the old lime tree.
HEADWORD,shinny up
DEFINITION,"to climb up a tree, rope, etc quickly, using your hands and legs"
EXAMPLE,He shinnied up the ladder into the hayloft.
HEADWORD,ship in
DEFINITION,"to bring goods into a place, especially by ship"
EXAMPLE,Some materials had to be shipped in from England. 
HEADWORD,ship off
DEFINITION,"to send someone somewhere, usually when they do not want to go"
EXAMPLE,I was expelled from boarding school and shipped off home the same day. 
HEADWORD,ship out
DEFINITION,to move goods or people away from a place
EXAMPLE,Thousands of tons of steel were shipped out from the docks. 
HEADWORD,shoot at
DEFINITION,to aim something at a target suddenly or with a lot of force
EXAMPLE,He shot the ball at the back of the net. 
HEADWORD,shoot down
DEFINITION,to shoot an enemy aircraft out of the sky
EXAMPLE,US pilots shot down a fighter jet. 
HEADWORD,shoot for
DEFINITION,to try to achieve a particular thing
EXAMPLE,"We're shooting for a December deadline, if all goes as planned."
HEADWORD,shoot off
DEFINITION,to leave a place quickly or suddenly
EXAMPLE,He had to shoot off quickly after the meeting. 
HEADWORD,shoot out
DEFINITION,to quickly and suddenly move forward your arm or something that you are holding
EXAMPLE,He shot out a hand and grabbed her arm. 
HEADWORD,shoot through
DEFINITION,"to leave a place, especially to avoid something that you have to do"
EXAMPLE,You can't shoot through every time things aren't going well for you.
HEADWORD,be shot through with
DEFINITION,to contain a lot of something
EXAMPLE,His argument is shot through with inconsistency. 
HEADWORD,shoot up
DEFINITION,to increase quickly by a large amount
EXAMPLE,Oil prices have shot up in the last six months. 
HEADWORD,shop around
DEFINITION,to go to several shops before you decide what particular thing to buy
EXAMPLE,"When buying a new car, it's important to shop around. "
HEADWORD,shore up
DEFINITION,to give support or help to something that is having problems or is likely to fail
EXAMPLE,He called for action to shore up the ailing university. 
HEADWORD,shout about
DEFINITION,to show that you are happy or proud of something
EXAMPLE,He does a lot for charity but he doesn't shout about it. 
HEADWORD,shout at
DEFINITION,"to use a loud voice when you are angry at someone or something, especially when you are criticizing them"
EXAMPLE,She's always shouting at her kids. 
HEADWORD,shout down
DEFINITION,"to shout while someone is speaking so that people cannot hear what they have to say, usually because you disagree with them"
EXAMPLE,The minister was shouted down as he tried to justify the government's decision. 
HEADWORD,shout out
DEFINITION,to say something suddenly in a very loud voice
EXAMPLE,I wanted to shout out and stop her but she was already gone. 
HEADWORD,shove around
DEFINITION,"to treat someone badly and in an unfair way, especially by giving them orders"
EXAMPLE,"Well, they won't be able to shove me around any longer."
HEADWORD,shove off
DEFINITION,used for telling someone to go away or leave you alone because you are angry or annoyed with them
EXAMPLE,Tell your annoying friends to shove off. 
HEADWORD,shove over
DEFINITION,"to move in order to make more room for someone else, for example on a seat by moving your body closer to the person sitting next to you"
EXAMPLE,He told her to shove over so he could get in bed with her. 
HEADWORD,show around
DEFINITION,"to take someone around a place for the first time, so that they can see all parts of it"
EXAMPLE,I'll get someone to show you around. 
HEADWORD,show in
DEFINITION,to take someone into a room where they are going to meet other people
EXAMPLE,"When she arrives, show her in right away. "
HEADWORD,show off
DEFINITION,to behave in a way that is intended to attract people's attention and make them admire you
EXAMPLE,The children start showing off the minute anyone comes to visit. 
HEADWORD,show out
DEFINITION,to take someone to the door by which they leave a place
EXAMPLE,Ask someone in the office to show you out. 
HEADWORD,show over
DEFINITION,to take someone around a place in order to show them how interesting or attractive it is
EXAMPLE,She was busy showing some important guests over the factory.
HEADWORD,show to
DEFINITION,"to lead someone somewhere, for example because they do not know where to go"
EXAMPLE,The waiter showed us to our table. 
HEADWORD,show up
DEFINITION,to arrive in a place where people are expecting you
EXAMPLE,I'll be very surprised if they show up on time. 
HEADWORD,show up as
DEFINITION,"to show what someone or something is really like, when this is not very good"
EXAMPLE,The interview showed him up as an ignorant fool. 
HEADWORD,shower down on
DEFINITION,"to fall on someone or something, usually in lots of very small pieces"
EXAMPLE,Confetti showered down on the happy couple.
HEADWORD,shower on
DEFINITION,to give a large number of things or a large amount of something to someone
EXAMPLE,"He showered gifts on his children, but gave them no attention. "
HEADWORD,shower with
DEFINITION,to give a large number of things or a large amount of something to someone
EXAMPLE,He showered her with expensive gifts. 
HEADWORD,shrink from
DEFINITION,to not be willing to do something difficult or deal with something unpleasant
EXAMPLE,Anne doesn't shrink from her responsibilities. 
HEADWORD,shroud in
DEFINITION,to cover or hide something with something else
EXAMPLE,The house was shrouded in darkness. 
HEADWORD,shrug off
DEFINITION,to show that something does not worry or upset you
EXAMPLE,They've clearly shrugged off the disappointment of last week's defeat. 
HEADWORD,shuck off
DEFINITION,to take a piece of clothing off
EXAMPLE,He shucked off his coat and sat down. 
HEADWORD,shudder at
DEFINITION,to be shocked by something
EXAMPLE,They would have shuddered at the thought of what we're doing now.
HEADWORD,shuffle through
DEFINITION,to look for something in a group or pile of things
EXAMPLE,"He sat there, shuffling through the papers on his desk."
HEADWORD,shut away
DEFINITION,to put someone in a place where they are kept apart from other people
EXAMPLE,Edmund's parents shut him away as a child. 
HEADWORD,shut in
DEFINITION,to put a person or animal in a place that they cannot leave
EXAMPLE,She pushed them into the kitchen and shut them in. 
HEADWORD,shut out of
DEFINITION,to not allow someone to do something or be involved in something
EXAMPLE,"For years, women were shut out of the top ranks of the industry. "
HEADWORD,shut up
DEFINITION,to stop talking or making a noise
EXAMPLE,"Oh, just shut up! I've had enough of this. "
HEADWORD,shy away
DEFINITION,"to avoid someone or be unwilling to do something, because you are nervous, afraid, or not confident"
EXAMPLE,The reason why buyers are shying away is fear of the unknown. 
HEADWORD,sicken of
DEFINITION,to become bored with something
EXAMPLE,He had begun to sicken of his superstar lifestyle.
HEADWORD,side with
DEFINITION,to agree with one particular person and support them in an argument
EXAMPLE,She always sided with my brother.
HEADWORD,sidle up
DEFINITION,"to move slowly towards someone or something, usually because you are nervous or do not want to be noticed"
EXAMPLE,The pony sidled up and took the lump of sugar from her hand. 
HEADWORD,sift out
DEFINITION,to remove one part of something
EXAMPLE,We get a different impression of the economy if we sift out the figures for imports. 
HEADWORD,sift through
DEFINITION,"to examine information, documents etc in order to find something"
EXAMPLE,He spent hours sifting through all the documents relating to the case. 
HEADWORD,sign in
DEFINITION,to write your name or someone else's name on an list as a record of when you or they arrived at a place
EXAMPLE,All visitors must sign in at the front desk. 
HEADWORD,sign off
DEFINITION,to end a broadcast on television or radio
EXAMPLE,It's time for me to sign off now. 
HEADWORD,sign off on
DEFINITION,to officially agree to something
EXAMPLE,White House officials said the president has signed off on the policy.
HEADWORD,sign on
DEFINITION,to write your name or a secret word in order to use a computer
EXAMPLE,You need your password to sign on. 
HEADWORD,sign out
DEFINITION,to write your name or someone else's name on a list as a record of when you or they leave a place
EXAMPLE,Please sign out when you leave. 
HEADWORD,sign over
DEFINITION,to officially give your property to someone by writing your name on a legal document
EXAMPLE,He's nervous about signing over the whole farm. 
HEADWORD,sign up
DEFINITION,to join a course or organization
EXAMPLE,It's a voluntary course - students only sign up if they want to. 
HEADWORD,simmer down
DEFINITION,to become calm after being excited or angry
EXAMPLE,Give him a couple of days to simmer down and we'll ask him again.
HEADWORD,sing along
DEFINITION,to sing a song with someone who is already singing
EXAMPLE,"If you know the words, sing along. "
HEADWORD,sing out
DEFINITION,to say something in a loud clear voice
EXAMPLE,"'Uncle Charlie,' Jo sang out. "
HEADWORD,sing up
DEFINITION,to sing with a louder voice
EXAMPLE,Sing up everyone!
HEADWORD,single out
DEFINITION,"to choose one person from a group for special attention, praise, or criticism"
EXAMPLE,He was irritated that fate seemed to have singled him out yet again. 
HEADWORD,sink back
DEFINITION,"to move or fall back, especially because you are tired"
EXAMPLE,She sank back in her chair.
HEADWORD,sink down
DEFINITION,"to move or fall downwards, especially so that you are sitting or lying"
EXAMPLE,With a groan she sank down. 
HEADWORD,sink to
DEFINITION,to do something bad that you would not usually do
EXAMPLE,How could you sink to stealing money from your own mother?
HEADWORD,siphon off
DEFINITION,to move liquid from one container to another through a tube
EXAMPLE,Siphon off all excess liquid. 
HEADWORD,sit around
DEFINITION,"to spend time in a lazy way, doing nothing important"
EXAMPLE,"Are we going to sit around all night, or shall we go out? "
HEADWORD,sit back
DEFINITION,to relax and stop making the effort to do or change something
EXAMPLE,I can't afford to sit back with the tournament coming up.
HEADWORD,sit by
DEFINITION,to make no effort to stop something bad from happening
EXAMPLE,Are we just going to sit by and watch them take over the company?
HEADWORD,sit down
DEFINITION,to lower your body into a sitting position
EXAMPLE,We were tired so we decided to sit down for a while. 
HEADWORD,sit for
DEFINITION,to be a model for an artist or photographer
EXAMPLE,I'd love to paint you. Would you sit for me?
HEADWORD,sit in for
DEFINITION,to take the place of someone temporarily
EXAMPLE,I'll be sitting in for the secretary at the meeting tonight.
HEADWORD,sit in on
DEFINITION,to go to a meeting or a class although you are not directly involved in it
EXAMPLE,Do you mind if I sit in on your class this afternoon?
HEADWORD,sit on
DEFINITION,to delay dealing with something
EXAMPLE,They've been sitting on my application for over a month now.
HEADWORD,sit out
DEFINITION,to stop taking part in something such as a game or dance for a short time
EXAMPLE,"I'm tired, so I think I'll sit out the next dance. "
HEADWORD,sit over
DEFINITION,to have a meal or a drink in a relaxed pleasant way
EXAMPLE,"They sat over their coffee, chatting intimately."
HEADWORD,sit through
DEFINITION,"to stay until the end of something, especially something you are not enjoying"
EXAMPLE,"If I have to sit through one more boring meeting, I think I'll scream."
HEADWORD,sit up
DEFINITION,"to go from a lying position to a sitting position, or to help someone do this"
EXAMPLE,Would you like to sit up and read for a while? 
HEADWORD,size up
DEFINITION,to form an opinion about someone or something by thinking carefully about them or it
EXAMPLE,He sized up the situation and immediately decided what to do. 
HEADWORD,skate over
DEFINITION,to avoid talking or writing about of a difficult or embarrassing subject or situation in a detailed way
EXAMPLE,The report seems to have skated over all the things people really want to know about.
HEADWORD,sketch in
DEFINITION,to add more information or details to something
EXAMPLE,We need to sketch in a few more details before presenting the plan.
HEADWORD,sketch out
DEFINITION,"to make a general plan or give a general description of something, with only a few details"
EXAMPLE,I've sketched out a rough proposal.
HEADWORD,skim off
DEFINITION,to remove a substance that is floating on the surface of a liquid
EXAMPLE,Skim the fat off the soup.
HEADWORD,skim through
DEFINITION,to read something quickly and not very carefully
EXAMPLE,Would you skim through the report and check for spelling mistakes?
HEADWORD,skimp on
DEFINITION,to not use or provide enough of something
EXAMPLE,The dessert was good but they had skimped on the chocolate sauce. 
HEADWORD,skip out
DEFINITION,"to leave a place quickly, usually because you do not want to be noticed or want to avoid paying money"
EXAMPLE,They skipped out and left us to pay the bill. 
HEADWORD,skirt around
DEFINITION,to go around the edge of a place or thing
EXAMPLE,If we skirt around the field we can avoid the mud. 
HEADWORD,skive off
DEFINITION,to not go to school or work when you should be there
EXAMPLE,She said she was ill but I knew she was skiving off. 
HEADWORD,slack off
DEFINITION,"to get weaker, less violent, or less active"
EXAMPLE,The rain seemed to be slacking off. 
HEADWORD,slacken off
DEFINITION,"to become slower or less active, or make something slower or less active"
EXAMPLE,"When you're in the lead, don't slacken off. "
HEADWORD,slag off
DEFINITION,to criticize someone or something unfairly
EXAMPLE,I don't know why she goes out with him - she's always slagging him off. 
HEADWORD,slam out
DEFINITION,to leave a place quickly and angrily
EXAMPLE,"They argued again and she slammed out, leaving him to sulk on his own. "
HEADWORD,slap around
DEFINITION,"to hit or be violent towards someone, especially regularly and over a long period of time"
EXAMPLE,Her husband slaps her around.
HEADWORD,slap down
DEFINITION,"to unfairly criticize or disagree with someone, or make them feel that what they are saying is stupid or useless"
EXAMPLE,As soon as I say anything in meetings I get slapped down. 
HEADWORD,slap on
DEFINITION,"to order that something should be done immediately, especially as a punishment"
EXAMPLE,The court has slapped a ban on the video. 
HEADWORD,slash through
DEFINITION,to move somewhere in a violent way that causes a lot of damage
EXAMPLE,Tornadoes slashed through the area. 
HEADWORD,be slated for
DEFINITION,"to be expected to happen at a particular time or to be done, especially at a particular time"
EXAMPLE,The meeting is slated for next Tuesday. 
HEADWORD,slave away
DEFINITION,to work very hard
EXAMPLE,I've been slaving away all day while you've been out enjoying yourself.
HEADWORD,sleep around
DEFINITION,to have a lot of different sexual partners
EXAMPLE,"If you sleep around, you increase your risk of HIV infection."
HEADWORD,sleep in
DEFINITION,to continue sleeping after the time you usually get up
EXAMPLE,The whole family sleeps in on Sundays.
HEADWORD,sleep off
DEFINITION,"to get rid of an unpleasant or uncomfortable feeling by sleeping, especially after eating or drinking too much"
EXAMPLE,"The day after the wedding, I'll still be sleeping off the champagne. "
HEADWORD,sleep on
DEFINITION,"to wait to make a decision until the next day, after you have rested and had more time to think"
EXAMPLE,Let me sleep on it and I'll give you an answer tomorrow.
HEADWORD,sleep out
DEFINITION,to sleep outside
EXAMPLE,Most people who sleep out do it because they are homeless.
HEADWORD,sleep over
DEFINITION,to sleep at someone else's house for one night
EXAMPLE,"Mum, can Billy sleep over on Saturday? "
HEADWORD,sleep through
DEFINITION,to remain sleeping and not be woken by something
EXAMPLE,"'Did you hear the storm last night?' 'No, I must have slept through it.' "
HEADWORD,sleep with
DEFINITION,"to have sex with someone, especially someone you are not married to or in a relationship with"
EXAMPLE,I only slept with him once.
HEADWORD,slice off
DEFINITION,to remove something by cutting it with a sharp knife or blade
EXAMPLE,He accidentally sliced off the tip of his finger.
HEADWORD,slice up
DEFINITION,to cut something into several flat thin pieces
EXAMPLE,He sliced up the loaf of bread and buttered each piece. 
HEADWORD,slick back
DEFINITION,to move your hair back from your face and make it flat and shiny by putting something such as oil or water on it.
EXAMPLE,His long white hair was slicked back with gel. 
HEADWORD,slick down
DEFINITION,to make hair flat and shiny by putting something such as water or oil on it
EXAMPLE,His long wispy hair had been combed back and slicked down with something to make it neat. 
HEADWORD,slim down
DEFINITION,"to deliberately reduce your body weight, for example in order to become healthier"
EXAMPLE,He's slimmed down since he had his heart attack. 
HEADWORD,slink away
DEFINITION,to leave a place slowly and quietly so that people will not notice you
EXAMPLE,"The man turned and slunk away, disappearing into the crowd."
HEADWORD,slip away
DEFINITION,to leave quietly or secretly
EXAMPLE,We managed to slip away early. 
HEADWORD,slip down
DEFINITION,to fall down to a lower level on a scale that measures how good something is
EXAMPLE,The report shows that our universities are slipping down the international league table in scientific research. 
HEADWORD,slip in
DEFINITION,to mention something quickly and in a way that is not too obvious when you are talking or writing about something else
EXAMPLE,He managed to slip in a few comments about his rich father. 
HEADWORD,slip into
DEFINITION,to mention something quickly and in a way that is not too obvious in a conversation or piece of writing about something else
EXAMPLE,That was rather a strange thing to slip into the conversation. 
HEADWORD,slip off
DEFINITION,to take a piece of clothing off quickly
EXAMPLE,He quickly slipped off his jacket and sat down at the table. 
HEADWORD,slip on
DEFINITION,to put clothes on
EXAMPLE,Ann slipped the jacket on to see what it looked like. 
HEADWORD,slip out of
DEFINITION,to take clothes off quickly
EXAMPLE,I'm going to slip out of this uniform as soon as we get home.
HEADWORD,slip up
DEFINITION,to make a small careless mistake
EXAMPLE,This time be extra careful. We can't afford to slip up again. 
HEADWORD,slob around
DEFINITION,"to spend time in a lazy way, not doing very much"
EXAMPLE,I spent the weekend slobbing around.
HEADWORD,slobber over
DEFINITION,to show that you like or are sexually attracted to someone in a very obvious way that other people think is silly or embarrassing
EXAMPLE,He's always slobbering over her in public.
HEADWORD,slog away
DEFINITION,to work hard and for a long time at something that is difficult or boring
EXAMPLE,Most of the night was spent slogging away at the report.
HEADWORD,slog out
DEFINITION,to work very hard
EXAMPLE,I've been slogging my guts out to get this report finished in time. 
HEADWORD,slope off
DEFINITION,"to leave somewhere quietly or secretly, especially in order to avoid being noticed"
EXAMPLE,"The men sloped off, looking ashamed of themselves."
HEADWORD,slot in
DEFINITION,to fit closely into a narrow space or fit something into a narrow space
EXAMPLE,The last tile slotted in neatly. 
HEADWORD,slot into
DEFINITION,to fit something into a narrow space
EXAMPLE,She slotted another tape into the VCR. 
HEADWORD,slot together
DEFINITION,"to fit together exactly, or fit things together exactly"
EXAMPLE,They slot together like pieces of a jigsaw puzzle. 
HEADWORD,slough off
DEFINITION,to get rid of something you do not want
EXAMPLE,People think you can just slough off depression and pull your socks up. 
HEADWORD,slug out
DEFINITION,to argue or fight about something until someone wins
EXAMPLE,Rebels and government forces have been slugging it out in the west of the country for months now.
HEADWORD,smack of
DEFINITION,to be a sign of something bad
EXAMPLE,Going out with him smacks of desperation. 
HEADWORD,smarten up
DEFINITION,to make yourself look tidy and clean
EXAMPLE,You need to smarten up a bit if you're going to an interview. 
HEADWORD,smash down
DEFINITION,to make something fall down and break into pieces by hitting it very hard
EXAMPLE,The police had to smash down the door.
HEADWORD,smash in
DEFINITION,to cause a lot of damage to something by hitting it violently
EXAMPLE,The front of the car was all smashed in. 
HEADWORD,smash into
DEFINITION,"to hit something very hard while moving fast, causing injury or damage, or make something do this"
EXAMPLE,His car smashed into a tree. 
HEADWORD,smash up
DEFINITION,to destroy something completely by violently breaking it into many pieces
EXAMPLE,She got angry and started smashing things up. 
HEADWORD,smell of
DEFINITION,to have a particular smell
EXAMPLE,It smells of disinfectant in here. 
HEADWORD,smell out
DEFINITION,to be able to tell where someone or something is by using your ability to smell things
EXAMPLE,These dogs can smell out drugs from 100 metres away. 
HEADWORD,smell up
DEFINITION,to cause a person or place to have an unpleasant smell
EXAMPLE,That burnt fish is smelling up the whole house.
HEADWORD,smoke out
DEFINITION,"to force a person, animal, or insect to leave the place where they have been hiding by filling it with smoke"
EXAMPLE,She was badly stung while trying to smoke the bees out. 
HEADWORD,smooth down
DEFINITION,to move your hand across the surface of something until it is flat and even
EXAMPLE,He smoothed down his hair with his hand. 
HEADWORD,smooth out
DEFINITION,to get rid of problems or disagreements
EXAMPLE,"If she had a problem, her husband always smoothed things out for her. "
HEADWORD,smooth over
DEFINITION,to make a problem seem less serious
EXAMPLE,He's trying to smooth over differences between the two leaders.
HEADWORD,snack on
DEFINITION,to eat a small amount of food between meals
EXAMPLE,He was snacking on a bar of chocolate.
HEADWORD,snap back
DEFINITION,to quickly become better after being ill or in a difficult situation
EXAMPLE,The economy has snapped back after two disappointing years.
HEADWORD,snap out
DEFINITION,"to say something quickly, especially an order or a rude comment"
EXAMPLE,He snapped out an order to his servant. 
HEADWORD,snap to
DEFINITION,used for telling someone to start working or to start working harder or faster
EXAMPLE,"Come on, snap to it! We've got a lot to do before the end of the day."
HEADWORD,snap up
DEFINITION,to buy something as soon as it becomes available
EXAMPLE,By 10 o'clock most of the best bargains had been snapped up. 
HEADWORD,snarl up
DEFINITION,to make something such as traffic unable to move
EXAMPLE,An accident snarled up the traffic for hours. 
HEADWORD,sneak on
DEFINITION,"to tell someone in authority about something bad that someone has done, especially because you want to cause problems for them"
EXAMPLE,Someone must have sneaked on you.
HEADWORD,sneak up
DEFINITION,to get very close to someone before they notice you
EXAMPLE,He has this annoying habit of sneaking up behind you. 
HEADWORD,sneeze at
DEFINITION,"very good, or good enough to consider having"
EXAMPLE,Six goals is not to be sneezed at.
HEADWORD,sniff around
DEFINITION,to try to find out information
EXAMPLE,We've got to stop any more media people sniffing around. 
HEADWORD,sniff out
DEFINITION,"to discover something, especially something that was previously hidden or not known"
